cpc_group,cpc_group_title,sub_class,ATC1
A61P1/00,Drugs for disorders of the alimentary tract or the digestive system,-,A
A61P1/02,"Drugs for disorders of the alimentary tract or the digestive system-Stomatological preparations, e.g. drugs for caries, aphtae, periodontitis",Stomatological preparations,A
A61P1/04,"Drugs for disorders of the alimentary tract or the digestive system-for ulcers, gastritis or reflux esophagitis, e.g. antacids, inhibitors of acid secretion, mucosal protectants","ulcers, gastritis or reflux esophagitis",A
A61P1/06,"Drugs for disorders of the alimentary tract or the digestive system-Anti-spasmodics, e.g. drugs for colics, esophagic dyskinesia",Anti-spasmodics,A
A61P1/08,"Drugs for disorders of the alimentary tract or the digestive system-for nausea, cinetosis or vertigo; Antiemetics","nausea, cinetosis or vertigo",A
A61P1/10,Drugs for disorders of the alimentary tract or the digestive system-Laxatives,Laxatives,A
A61P1/12,Drugs for disorders of the alimentary tract or the digestive system-Antidiarrhoeals,Antidiarrhoeals,A
A61P1/14,"Drugs for disorders of the alimentary tract or the digestive system-Prodigestives, e.g. acids, enzymes, appetite stimulants, antidyspeptics, tonics, antiflatulents",Prodigestives,A
A61P1/16,"Drugs for disorders of the alimentary tract or the digestive system-for liver or gallbladder disorders, e.g. hepatoprotective agents, cholagogues, litholytics",liver or gallbladder,A
A61P1/18,"Drugs for disorders of the alimentary tract or the digestive system-for pancreatic disorders, e.g. pancreatic enzymes",pancreas,A
A61P11/00,Drugs for disorders of the respiratory system,-,R
A61P11/02,"Drugs for disorders of the respiratory system-Nasal agents, e.g. decongestants",nasal,R
A61P11/04,Drugs for disorders of the respiratory system-for throat disorders,throat,R
A61P11/06,Drugs for disorders of the respiratory system-Antiasthmatics,antiasthamtics,R
A61P11/08,Drugs for disorders of the respiratory system-Bronchodilators,bronchodilators,R
A61P11/10,Drugs for disorders of the respiratory system-Expectorants,expecorants,R
A61P11/12,Drugs for disorders of the respiratory system-Mucolytics,mucolytics,R
A61P11/14,Drugs for disorders of the respiratory system-Antitussive agents,antitussive agents,R
A61P11/16,Drugs for disorders of the respiratory system-Central respiratory analeptics,central respiratory analeptics,R
A61P13/00,Drugs for disorders of the urinary system,-,G
A61P13/02,"Drugs for disorders of the urinary system-of urine or of the urinary tract, e.g. urine acidifiers",urine or urinary tract,G
A61P13/04,Drugs for disorders of the urinary system-for urolithiasis,urolithiasis,G
A61P13/06,Drugs for disorders of the urinary system-Anti-spasmodics,Anti-spasmodics,G
A61P13/08,Drugs for disorders of the urinary system-of the prostate,prostate,G
A61P13/10,Drugs for disorders of the urinary system-of the bladder,bladder,G
A61P13/12,Drugs for disorders of the urinary system-of the kidneys,kidney,G
A61P15/00,Drugs for genital or sexual disorders ; Contraceptives,-,G
A61P15/02,Drugs for genital or sexual disorders ; Contraceptives-for disorders of the vagina,vaginal disorders,G
A61P15/04,Drugs for genital or sexual disorders ; Contraceptives-for inducing labour or abortion; Uterotonics,inducing labour/abortion,G
A61P15/06,Drugs for genital or sexual disorders ; Contraceptives-Antiabortive agents; Labour repressants,antiabortive,G
A61P15/08,"Drugs for genital or sexual disorders ; Contraceptives-for gonadal disorders or for enhancing fertility, e.g. inducers of ovulation or of spermatogenesis",gonadal or fertility,G
A61P15/10,Drugs for genital or sexual disorders ; Contraceptives-for impotence,impotence,G
A61P15/12,Drugs for genital or sexual disorders ; Contraceptives-for climacteric disorders,climacteric,G
A61P15/14,"Drugs for genital or sexual disorders ; Contraceptives-for lactation disorders, e.g. galactorrhoea",lactation,G
A61P15/16,Drugs for genital or sexual disorders ; Contraceptives-Masculine contraceptives,male contraceptives,G
A61P15/18,Drugs for genital or sexual disorders ; Contraceptives-Feminine contraceptives,female contraceptives,G
A61P17/00,Drugs for dermatological disorders,-,D
A61P17/02,"Drugs for dermatological disorders-for treating wounds, ulcers, burns, scars, keloids, or the like",treating wounds,D
A61P17/04,Drugs for dermatological disorders-Antipruritics,Antipruritics,D
A61P17/06,Drugs for dermatological disorders-Antipsoriatics,Antipsoriatics,D
A61P17/08,Drugs for dermatological disorders-Antiseborrheics,Antiseborrheics,D
A61P17/10,Drugs for dermatological disorders-Anti-acne agents,Anti-acne,D
A61P17/12,"Drugs for dermatological disorders-Keratolytics, e.g. wart or anti-corn preparations",Keratolytics,D
A61P17/14,Drugs for dermatological disorders-for baldness or alopecia,baldness,D
A61P17/16,"Drugs for dermatological disorders-Emollients or protectives, e.g. against radiation",Emollients,D
A61P17/18,"Drugs for dermatological disorders-Antioxidants, e.g. antiradicals",Antioxidants,D
A61P19/00,Drugs for skeletal disorders,-,M
A61P19/02,"Drugs for skeletal disorders-for joint disorders, e.g. arthritis, arthrosis",joints,M
A61P19/04,Drugs for skeletal disorders-for non-specific disorders of the connective tissue,connective tissue,M
A61P19/06,"Drugs for skeletal disorders-Antigout agents, e.g. antihyperuricemic or uricosuric agents",antigout agents,M
A61P19/08,"Drugs for skeletal disorders-for bone diseases, e.g. rachitism, Paget's disease",bone diseases,M
A61P19/10,"Drugs for skeletal disorders-for bone diseases, e.g. rachitism, Paget's disease-for osteoporosis",osteoporosis,M
A61P21/00,Drugs for disorders of the muscular or neuromuscular system,-,M
A61P21/02,"Drugs for disorders of the muscular or neuromuscular system-Muscle relaxants, e.g. for tetanus or cramps",muscle relaxants,M
A61P21/04,Drugs for disorders of the muscular or neuromuscular system-for myasthenia gravis,myasthenia gravis,M
A61P21/06,Drugs for disorders of the muscular or neuromuscular system-Anabolic agents,anabolic agents,M
A61P23/00,Anaesthetics,-,N
A61P23/02,Anaesthetics-Local anaesthetics,local anaesthetics,N
A61P25/00,Drugs for disorders of the nervous system,-,N
A61P25/02,Drugs for disorders of the nervous system-for peripheral neuropathies,peripheral neuropathies,N
A61P25/04,"Drugs for disorders of the nervous system-Centrally acting analgesics, e.g. opioids",Centrally acting analgesics,N
A61P25/06,Drugs for disorders of the nervous system-Antimigraine agents,Antimigraine agents,N
A61P25/08,Drugs for disorders of the nervous system-Antiepileptics; Anticonvulsants,Antiepileptics; Anticonvulsants,N
A61P25/10,Drugs for disorders of the nervous system-Antiepileptics; Anticonvulsants-for petit-mal,petit-mal,N
A61P25/12,Drugs for disorders of the nervous system-Antiepileptics; Anticonvulsants-for grand-mal,grand-mal,N
A61P25/14,"Drugs for disorders of the nervous system-for treating abnormal movements, e.g. chorea, dyskinesia",abnormal movements,N
A61P25/16,"Drugs for disorders of the nervous system-for treating abnormal movements, e.g. chorea, dyskinesia-Anti-Parkinson drugs",Anti-Parkinson drugs,N
