"year","quarter","prop_expanded"
2014,1,0.490196078431373
2014,2,0.509803921568627
2014,3,0.509803921568627
2014,4,0.529411764705882
2015,1,0.549019607843137
2015,2,0.568627450980392
2015,3,0.568627450980392
2015,4,0.588235294117647
2016,1,0.607843137254902
2016,2,0.607843137254902
2016,3,0.627450980392157
2016,4,0.627450980392157
2017,1,0.627450980392157
2017,2,0.627450980392157
2017,3,0.627450980392157
2017,4,0.627450980392157
2018,1,0.627450980392157
2018,2,0.627450980392157
2018,3,0.627450980392157
2018,4,0.627450980392157
2019,1,0.647058823529412
2019,2,0.666666666666667
2019,3,0.666666666666667
2019,4,0.666666666666667
2020,1,0.705882352941177
2020,2,0.705882352941177
2020,3,0.705882352941177
2020,4,0.725490196078431
2021,1,0.725490196078431
2021,2,0.725490196078431
2021,3,0.745098039215686
2021,4,0.764705882352941
2022,1,0.764705882352941
2022,2,0.764705882352941
2022,3,0.764705882352941
2022,4,0.764705882352941
2023,1,0.764705882352941
2023,2,0.764705882352941
2023,3,0.784313725490196
