"ndc","rxcui","atc","ATC_Level1","ATC_Level2"
"00002300475","598032",NA,NA,NA
"00002322730","352317","N06BA","N","N06"
"00002322830","352319","N06BA","N","N06"
"00002322930","352320","N06BA","N","N06"
"00002323130","725064","N06CA","N","N06"
"00002323230","725076",NA,NA,NA
"00002323430","725068","N06CA","N","N06"
"00002323560","596928","N06AX","N","N06"
"00002323730","615186","N06AX","N","N06"
"00002323830","352318","N06BA","N","N06"
"00002323930","352321","N06BA","N","N06"
"00002324030","596932","N06AX","N","N06"
"00002411230","212405","N05AH","N","N05"
"00002411233","212405","N05AH","N","N05"
"00002411260","212405","N05AH","N","N05"
"00002411504","153046","N05AH","N","N05"
"00002411530","153046","N05AH","N","N05"
"00002411533","153046","N05AH","N","N05"
"00002411560","153046","N05AH","N","N05"
"00002411630","153047","N05AH","N","N05"
"00002411633","153047","N05AH","N","N05"
"00002411660","153047","N05AH","N","N05"
"00002411730","153048","N05AH","N","N05"
"00002411733","153048","N05AH","N","N05"
"00002411760","153048","N05AH","N","N05"
"00002416502","1490067","G03XC","G","G03"
"00002416530","1490067","G03XC","G","G03"
"00002441530","261337","N05AH","N","N05"
"00002441560","261337","N05AH","N","N05"
"00002442030","284514","N05AH","N","N05"
"00002442060","284514","N05AH","N","N05"
"00002445385","754506","N05AH","N","N05"
"00002445485","754503","N05AH","N","N05"
"00002445585","754504","N05AH","N","N05"
"00002445685","754505","N05AH","N","N05"
"00002750101","1719013",NA,NA,NA
"00002751001","865098","A10AB","A","A10"
"00002751101","752388","A10AB","A","A10"
"00002751101","752388","A10AC","A","A10"
"00002751101","752388","A10AD","A","A10"
"00002803101","310497","H04AA","H","H04"
"00002821501","311036","A10AB","A","A10"
"00002831501","311026","A10AC","A","A10"
"00002871501","106892","A10AD","A","A10"
"00002872559","847209",NA,NA,NA
"00002873059","847199","A10AC","A","A10"
"00002879459","847254","A10AB","A","A10"
"00002879459","847254","A10AC","A","A10"
"00002879459","847254","A10AD","A","A10"
"00002897101","1435117","H05AA","H","H05"
"00003029320","1085756","H02AB","H","H02"
"00003042950","207131",NA,NA,NA
"00003050162","1085738","D07AB","D","D07"
"00003059320","261177",NA,NA,NA
"00003173830","94408",NA,NA,NA
"00003173845","94408",NA,NA,NA
"00003196701","152944",NA,NA,NA
"00003362412","402094",NA,NA,NA
"00003363112","402093","J05AE","J","J05"
"00003515405","904460",NA,NA,NA
"00003517805","904469","C10AA","C","C10"
"00003519410","904477","C10AA","C","C10"
"00003519510","904483",NA,NA,NA
"00004003822","284587","J05AB","J","J05"
"00004005801","206159","N03AE","N","N03"
"00004014301","209006","A11CC","A","A11"
"00004014401","209007","A11CC","A","A11"
"00004018682","904934","M05BA","M","M05"
"00004023909","152625",NA,NA,NA
"00004024126","103909",NA,NA,NA
"00004024133","103909",NA,NA,NA
"00004024648","210201",NA,NA,NA
"00004025901","616447","L04AA","L","L04"
"00004026001","616435","L04AA","L","L04"
"00004026043","616435","L04AA","L","L04"
"00004035239","731328","L03AB","L","L03"
