"firm","labeler_code"
"ABBVIE","00032"
"AZURITY","24338"
"SANDOZ","00185"
"MYLAN","00378"
"ORGANON LLC","78206"
"FABRE KRAMER","83504"
"SPECGX LLC","00406"
"IBSA","71858"
"PURDUE PHARMA LP","59011"
"HALEON US HOLDINGS","00031"
"CELGENE","59572"
"ORGANON","78206"
"NOVARTIS","00078"
"LIEBEL-FLARSHEIM","00019"
"ALLERGAN","00023"
"ASTRAZENECA","00186"
"SHIONOGI INC","59630"
"CUMBERLAND","66220"
"AKORN INC","50383"
"UCB INC","00131"
"PURDUE PHARMA","59011"
"BOEHRINGER INGELHEIM","00597"
"SANTARUS INC","68012"
"COSETTE","00713"
"ALMIRALL","16110"
"FERRING","55566"
"KENVUE BRANDS","16837"
"SALIX","65649"
"SANTARUS","68012"
"BIONPHARMA","69452"
"HARROW EYE","82667"
"NOVO NORDISK","00169"
"BAYER HEALTHCARE LLC","00026"
"ALKERMES","65757"
"EISAI INC","62856"
"CURRAX","42847"
"GILEAD SCIENCES","55135"
"CEPHALON","63459"
"MERCK SHARP DOHME","00006"
"NOVO NORDISK INC","00169"
"VIATRIS SPECIALTY","00037"
"GLAXOSMITHKLINE LLC","00173"
"PADAGIS US","00574"
"JANSSEN LP","50458"
"GE HEALTHCARE","00407"
"KYOWA KIRIN","42747"
"DIGESTIVE CARE INC","59767"
"THEA PHARMA","82584"
"HOSPIRA INC","00409"
"JAZZ","68727"
"MERZ","00259"
"HILL DERMACEUTICALS","28105"
"ABBVIE INC","00032"
"CHARTWELL RX","62135"
"GENZYME","58468"
"APOTEX INC","60505"
"GLAXOSMITHKLINE","00173"
"AVERITAS","72512"
"GENZYME CORP","58468"
"CIPHER","84635"
"INDIVIOR","12496"
"VERITY","74676"
"MEITHEAL","71288"
"ACROTECH BIOPHARMA","72893"
"ELI LILLY AND CO","00002"
"THERATECHNOLOGIES","62064"
"VIVUS INC","62541"
"FRESENIUS KABI USA","63323"
"ALMATICA","52427"
"EMD SERONO INC","44087"
"MAYNE PHARMA","50261"
"GLAUKOS","25357"
"GILEAD SCIENCES INC","55135"
"VIVUS LLC","62541"
"LANNETT","00527"
"ACELLA","42192"
"NEXUS","14789"
"MIKART","46672"
"GENUS LIFESCIENCES","64950"
"THEPHARMANETWORK LLC","53097"
"PAI HOLDINGS","00121"
"HOSPIRA","00409"
"QUAGEN","70752"
"LANNETT CO INC","00527"
"EPIC PHARMA LLC","42806"
"LEADING","69315"
"KVK TECH","10702"
"WOCKHARDT USA","64679"
"APOTEX","60505"
"STRIDES PHARMA","42543"
"SEPTODONT INC","00362"
"SANDOZ INC","00185"
"LUPIN","27437"
"LUPIN LTD","27437"
"APOTEX CORP","60505"
"ALMAJECT","72611"
"CONTRACT PHARMACAL","10267"
"MYLAN INSTITUTIONAL","42292"
"ZO SKIN HEALTH","42851"
"NEPHRON","00487"
"PRECISION DOSE","68094"
"EPIC PHARMA","42806"
"L PERRIGO CO","00113"
"PADAGIS ISRAEL","45802"
"SLATE RUN PHARMA","70436"
"AMNEAL","60846"
"SEPTODONT","00362"
"APNAR PHARMA LP","24689"
"APPCO","55801"
"RITEDOSE CORP","76204"
"BIOCON PHARMA","70377"
"NATCO PHARMA USA","69339"
"PURE SOURCE","65121"
"ANTARES PHARMA INC","18657"
"USWM","78670"
"NAVINTA LLC","68475"
"REYOUNG","82647"
"MISSION PHARMACAL","00178"
"XIROMED","70700"
"TOLMAR","62935"
"GRANULES INDIA","62207"
"ALVOGEN","47781"
"VISTAPHARM LLC","66689"
"GENBIOPRO","43393"
"CARNEGIE","80005"
"AMGEN","55513"
"GENENTECH","00004"
"KINIKSA PHARMACEUTICALS (UK), LTD.","73604"
"BTG INTERNATIONAL INC","50633"
"REGENERON PHARMACEUTICALS","61755"
"JANSSEN BIOTECH","57894"
"RECORDATI RARE DISEASES, INC.","52276"
"ELUSYS THERAPEUTICS INC","69604"
"AMGEN INC","55513"
"NALPROPION","51267"
"ENCUBE ETHICALS","21922"
"AUROLIFE PHARMA LLC","13107"
"KALEO INC","60842"
"DELCATH SYSTEMS INC","75833"
"ALIMERA SCIENCES INC","68611"
"VISTAPHARM","66689"
"YAOPHARMA CO LTD","50771"
"NEXTWAVE","24478"
"B BRAUN MEDICAL","00264"
"INCYTE CORP","50881"
"BELCHER","62250"
"ACTAVIS INC","00228"
"MEDEFIL INC","64253"
"VERO BIOTECH INC","72385"
"COLGATE-PALMOLIVE CO","35000"
"KVK TECH INC","10702"
"PARAGON BIOTECK","42702"
"ACTAVIS","00228"
"PLX PHARMA","73089"
"ACTAVIS LLC","00228"
"EXELIXIS","42388"
"CARDINAL HEALTH 414","65857"
"BIOGEN INC","59627"
"TIANJIN TIANYAO","57582"
"OREXO US INC","54123"
"PRECISION NUCLEAR","52768"
"PHARMASCIENCE INC","51817"
"ASTRAZENECA LP","00186"
"PATRIN","39328"
"BARADAINA LLC","53020"
"BPI LABS","54288"
"ORIENT PHARMA CO LTD","76333"
"RAYNER SURGICAL","82604"
"ACERUS","42667"
"BENUVIA OPERATIONS","78613"
"PHARMACYCLICS LLC","57962"
"MAYNE PHARMA INC","50261"
"MIRUM","79378"
"MEDEXUS","59137"
"PURITY CYLINDER GASES, INC","10927"
"NORCO INC","42602"
"WESTAIR GASES & EQUIPMENT INC","53440"
"AIRGAS USA LLC","11054"
"OXARC INC","34057"
"NEXAIR","12213"
"AIR PRODUCTS AND CHEMICALS INC","10018"
"MATHESON TRI-GAS INC","55037"
"UNITED STATES WELDING INC","54218"
"NITROUS OXIDE CORP","54260"
"NITROUS OXIDE OF CANADA","72343"
"SAVIOR LIFETEC CORP","44647"
"CELGENE CORP","59572"
"GENENTECH INC","00004"
"CARLSBAD TECHNOLOGY","61442"
"DAIICHI SANKYO INC","65597"
"MAINPOINTE","71269"
"BIOCRYST","72769"
"BIOCODEX SA","68418"
"CEE KAY SUPPLY","10218"
"RELIANT HOLDINGS LTD","65707"
"PRECISION DOSE INC","68094"
"LABORATORIOS GRIFOLS","76297"
"MEDLINE INDUSTRIES","53329"
"BIOCON LTD","70377"
"ALK ABELLO","00268"
"BIOFRONTERA","70621"
"LACER PHARMA","73159"
"EVOFEM INC","69751"
"SIGA TECHNOLOGIES","50072"
"STERIMAX","21586"
