labeler_code_pad,firm
00002,Eli Lilly and Company
00003,"E.R. Squibb & Sons, L.L.C."
00004,"Genentech, Inc."
00005,Wyeth Pharmaceutical Division of Wyeth Holdings LLC
00006,Merck Sharp & Dohme LLC
00008,"Wyeth Pharmaceuticals LLC, a subsidiary of Pfizer Inc."
00009,Pharmacia & Upjohn Company LLC
00013,Pfizer Laboratories Div Pfizer Inc
00019,Liebel-Flarsheim Company LLC
00023,"Allergan, Inc."
00024,Sanofi-Aventis U.S. LLC
00025,Pfizer Laboratories Div Pfizer Inc
00026,Bayer HealthCare LLC
00031,Haleon US Holdings LLC
00032,AbbVie Inc.
00037,Viatris Specialty LLC
00046,"Wyeth Pharmaceuticals LLC, a subsidiary of Pfizer Inc."
00049,Roerig
00052,Merck Sharp & Dohme LLC
00053,CSL Behring
00054,Hikma Pharmaceuticals USA Inc.
00065,"Alcon Laboratories, Inc."
00067,Haleon US Holdings LLC
00068,Sanofi-Aventis U.S. LLC
00069,Pfizer Laboratories Div Pfizer Inc
00071,Parke-Davis Div of Pfizer Inc
00074,AbbVie Inc.
00075,Sanofi-Aventis U.S. LLC
00078,Novartis Pharmaceuticals Corporation
00085,Merck Sharp & Dohme LLC
00088,Sanofi-Aventis U.S. LLC
00093,"Teva Pharmaceuticals USA, Inc."
00096,Person and Covey
00113,L. Perrigo Company
00115,Amneal Pharmaceuticals of New York LLC
00116,"Xttrium Laboratories, Inc."
00121,"PAI Holdings, LLC"
00126,"Colgate Oral Pharmaceuticals, Inc."
00131,"UCB, Inc."
00132,"C.B. Fleet Company, Inc."
00135,Haleon US Holdings LLC
00140,Roche Laboratories Inc.
00143,Hikma Pharmaceuticals USA Inc.
00159,"Trividia Manufacturing Solutions, Inc"
00168,E. Fougera & Co. a division of Fougera Pharmaceuticals Inc.
00169,Novo Nordisk
00172,"Teva Pharmaceuticals USA, Inc."
00173,GlaxoSmithKline LLC
00178,Mission Pharmacal Company
00185,Sandoz Inc
00186,AstraZeneca Pharmaceuticals LP
00187,"Bausch Health US, LLC"
00206,"Wyeth Pharmaceuticals LLC, a subsidiary of Pfizer Inc."
00219,"Humphreys Pharmacal, Incorporated"
00220,BOIRON
00225,BF ASCHER AND CO INC
00228,"Actavis Pharma, Inc."
00234,Molnlycke Health Care
00245,"Upsher-Smith Laboratories, LLC"
00254,"Endo USA, Inc."
00259,"Merz Pharmaceuticals, LLC"
00264,B. Braun Medical Inc.
00268,"ALK-Abello, Inc."
00270,Bracco Diagnostics Inc
00273,"Young Dental Manufacturing Co 1, LLC"
00276,"Misemer Pharmaceuticals, Inc"
00280,Bayer HealthCare LLC
00281,Savage Laboratories a division of Fougera Pharmaceuticals Inc.
00283,"Beutlich Pharmaceuticals, LLC"
00295,"Denison Pharmaceuticals, LLC"
00299,"Galderma Laboratories, L.P."
00310,AstraZeneca Pharmaceuticals LP
00311,"Almay, Inc."
00316,Crown Laboratories
00322,"Merrick Medicine Company, Inc"
00327,"United-Guardian, Inc."
00338,Baxter Healthcare Corporation
00360,STANDARD HOMEOPATHIC COMPANY
00362,"Septodont, Inc."
00363,Walgreen Company
00374,"Lyne Laboratories, Inc."
00378,Mylan Pharmaceuticals Inc.
00394,Mericon Industries
00395,"Humco Holding Group, Inc."
00404,Henry Schein Inc.
00406,SpecGx LLC
00407,GE Healthcare Inc.
00409,"Hospira, Inc."
00430,"Allergan, Inc."
00456,"Allergan, Inc."
00469,"Astellas Pharma US, Inc."
00472,"Actavis Pharma, Inc."
00480,"Teva Pharmaceuticals USA, Inc."
00485,"EDWARDS PHARMACEUTICALS, INC."
00486,"Beach Products, Inc."
00487,Nephron Pharmaceuticals Corporation
00496,"Ferndale Laboratories, Inc."
00498,"Honeywell Safety Products USA, INC"
00517,"American Regent, Inc."
00519,STERIS Corporation
00527,"Lannett Company, Inc."
00536,RUGBY LABORATORIES
00548,"Amphastar Pharmaceuticals, Inc."
00555,"Teva Pharmaceuticals USA, Inc."
00562,Kedrion Biopharma Inc
00573,Haleon US Holdings LLC
00574,Padagis US LLC
00575,"Teva Pharmaceuticals USA, Inc."
00591,"Actavis Pharma, Inc."
00597,"Boehringer Ingelheim Pharmaceuticals, Inc."
00603,"Endo USA, Inc."
00615,"NCS HealthCare of KY, LLC dba Vangard Labs"
00641,Hikma Pharmaceuticals USA Inc.
00642,"Exeltis USA, Inc."
00682,"Marnel Pharmaceuticals, Inc."
00699,"Dentsply LLC. Professional Division Trading as ""Sultan Healthcare"""
00703,"Teva Parenteral Medicines, Inc."
00713,"Cosette Pharmaceuticals, Inc."
00761,"BASIC DRUGS, INC."
00777,Dista Products Company
00781,Sandoz Inc
00799,Calmoseptine Inc.
00802,"Humco Holding Group, Inc."
00832,"Upsher-Smith Laboratories, LLC"
00869,"Vi Jon, LLC"
00884,"Pedinol Pharmacal, Inc."
00904,Major Pharmaceuticals
00924,Acme United Corporation
00941,Vantive US Healthcare LLC
00942,"Fenwal, Inc."
00944,"Takeda Pharmaceuticals America, Inc."
00955,Sanofi-Aventis U.S. LLC
00990,ICU Medical Inc.
00998,"Alcon Laboratories, Inc."
10014,Aero All Gas Company
10018,"Air Products and Chemicals, Inc."
10019,Baxter Healthcare Corporation
10028,Ultraceuticals Pty Ltd
10056,Access Business Group LLC
10073,"Oz Arc/gas Equipment & Supply, Inc."
10094,Aquestive Therapeutics
10095,World Perfumes Inc
10096,The Avon Company
10107,Balassa Laboratories Inc.
10122,"Chiesi USA, Inc."
10129,Gingi-Pak a Division of the Belport
10135,Marlex Pharmaceuticals Inc
10144,"Merz Pharmaceuticals, LLC"
10147,Patriot Pharmaceuticals
10148,"CoTherix, Inc."
10157,Blistex Inc.
10167,Air Source Industries Inc
10189,Butler Gas Products Company
10202,"7-Eleven, Inc."
10210,"Carma Laboratories, Inc."
10218,"CEE-KAY SUPPLY, INC."
10221,"Central-McGowan, Inc."
10223,"Cetylite Industries, Inc."
10237,"Church & Dwight Co., Inc."
10258,COLONIAL DAMES CO LTD
10267,Contract Pharmacal Corp.
10297,"A-OX WELDING SUPPLY CO., INC."
10304,Delille Oxygen Company
10345,LABORATOIRES M&L
10348,"SMASHBOX BEAUTY COSMETICS, INC"
10356,Beiersdorf Inc
10361,"E-Z-EM, INC."
10370,"Endo USA, Inc."
10412,Flint Welding Supply Company
10451,General Distributing Co.
10454,"Solstice Neurosciences, LLC"
10511,Photocure Inc.
10526,"Haun Welding Supply, Inc."
10542,Hillestad Pharmaceuticals USA
10546,"Hobart Laboratories, Inc."
10564,Bershtel Enterprises
10565,Hydrox Laboratories
10572,"Affordable Pharmaceuticals, LLC"
10578,Indiana Botanic Gardens
10596,Kao USA Inc.
10599,"Intersect ENT, Inc."
10631,"Sun Pharmaceutical Industries, Inc."
10637,"Port Jervis Laboratories, Inc."
10690,"Depke Welding Supplies, Inc."
10702,"KVK-TECH, INC."
10733,"Medical Products Laboratories, Inc."
10736,"MEDICAL-TECHNICAL GASES, INC."
10738,Genuine Virgin Aloe Corporation
10742,The Mentholatum Company
10819,"Professional Disposables International, Inc."
10827,Yusef Manufacturing Laboratories
10866,"Pascal Company, Inc."
10882,JAR Laboratories
10893,"Nature's Innovation, Inc."
10927,PURITY CYLINDER GASES INC
10942,Raimy Corporation
10956,Reese Pharmaceutical Co
10967,Revlon Consumer Products Corp
11043,"S. J. Smith Co., Inc."
11045,SE Operations Pty Ltd
11054,"AIRGAS USA, LLC"
11056,South Jersey Welding Supply
11084,"SC Johnson Professional USA, Inc."
11086,Summers Laboratories Inc
11291,Dr. G. H. Tichenor's Antiseptic Company
11324,Linde Puerto Rico B.V.
11344,"Consumer Product Partners, LLC"
11383,"Weeks & Leo Co., Inc"
11401,"Hawaii Home Infusion Associates, Ltd."
11410,"Alchemee, LLC"
11429,Woodbine Products Company
11489,BCM Ltd
11509,Combe Incorporated
11523,Bayer HealthCare LLC
11527,Sheffield Pharmaceuticals LLC
11534,"SUNRISE PHARMACEUTICAL, INC."
11559,ESTEE LAUDER INC
11564,Fresno Oxygen & Welding Suppliers Inc
11584,El Dorado Distributors LLC
11673,Target Corporation
11701,"Coloplast Manufacturing US, LLC"
11704,Meridian Medical Technologies LLC
11716,Hanlim
11748,"P and J Oxyfill, LLC"
11788,"AiPing Pharmaceutical, Inc."
11797,Italfarmaco SPA
11822,Rite Aid Corporation
11853,Air Liquide Large Industries U.S. LP
11928,"Mada Medical Products, Inc."
11980,"Allergan, Inc."
11988,Lubbock Welding Supply
11993,"Dersan Pharmaceutical Co., Ltd"
11994,"Lantheus Medical Imaging, Inc."
11999,Welders Supply Company
12022,J. Strickland & Co.
12121,"Badger Welding Supplies, Inc."
12164,"Halocarbon Life Sciences, LLC"
12165,"GF Health Products, Inc."
12213,NexAir LLC
12258,S.S.S. Company
12496,Indivior Inc.
12539,DORAL PHARMAMEDICS INC dba A.G. Marin Pharmaceuticals
12546,Mondelez Global LLC
12745,Medical Chemical Corporation
12830,R.A. McNeil Company
12870,Arzol Chemical Company
13107,Aurolife Pharma LLC
13267,THE FEINSTEIN INSTITUTE FOR MEDICAL RESEARCH
13302,Romaine Companies
13411,"Advanced Pharmaceutical Services, Inc. Dba Affordable Quality Pharmaceuticals"
13517,"e5 Pharma, LLC"
13533,"GRIFOLS USA, LLC"
13548,"Bausch Health US, LLC"
13551,"Avadel CNS Pharmaceuticals, LLC"
13633,Mountaineer Home Medical LLC
13668,Torrent Pharmaceuticals Limited
13709,"NeilMed Pharmaceuticals, Inc."
13733,"Able C&C Co., Ltd."
13734,NARS Cosmetics
13811,"Trigen Laboratories, LLC"
13826,"Gallup Welders Supply, Inc."
13859,"Craig's Drug Store, Inc."
13913,"Assertio Therapeutics, Inc."
13925,Seton Pharmaceuticals
13985,MWI Veterinary Supply
14080,KTL&C LLC dba RX Positive Medical Supply
14141,Bel Star S.A.
14208,"California Tool and Welding Supply, LLC"
14214,Leading Respiratory Service Inc.
14222,Rodan & Fields
14268,"Englewood Lab, Inc."
14335,"Hainan Poly Pharm. Co., Ltd."
14403,"Hybio Pharmaceutical Co., Ltd. (Pingshan Factory)"
14445,Indoco Remedies Limited
14448,"BLUE SPRING WELLNESS, L.L.C."
14498,Maco Productions
14537,"Terumo BCT, Ltd."
14539,Heritage Pharmaceuticals Inc. d/b/a Avet Pharmaceuticals Inc.
14593,Emcure Pharmaceuticals Limited
14784,Quick-Fill Mobile Oxygen LLC
14789,Nexus Pharmaceuticals LLC
14803,Elysium Pharmaceutical Ltd
14961,"Haun Specialty Gases, Inc."
15013,"Sinol USA, Inc."
15014,"GENTEX PHARMA, LLC"
15054,"Ipsen Biopharmaceuticals, Inc."
15127,"L&R Distributors, Inc."
15370,"CarWin Pharmaceutical Associates, LLC"
15435,SLC Skincare
15547,Tri State Medical Supply
15579,"Bell Pharmaceuticals, Inc."
15631,"Rxhomeo Private Limited d.b.a. Rxhomeo, Inc"
15687,Big Branch Breeders Service
15751,Eminence Organic Skin Care
15955,Alembic Labs LLC
16030,Aurolab
16103,"Pharbest Pharmaceuticals, Inc."
16110,"Almirall, LLC"
16129,"Pharmalogic South Carolina, LLC"
16175,Calmar dba A&R Medical Supply
16252,"Teva Pharmaceuticals USA, Inc."
16477,"Laser Pharmaceuticals, LLC"
16496,"Image Supply, Inc."
16555,DARPHIN DIST.
16571,"Rising Pharma Holdings, Inc."
16714,NorthStar Rx LLC
16729,Accord Healthcare Inc
16781,"Bausch Health US, LLC"
16837,Kenvue Brands LLC
16864,"Advantice Health, LLC"
16913,"Advanced Medical Equipment, LLC"
17089,Guna spa
17139,"ASCEND Therapeutics U.S., LLC"
17156,Medi-Physics Inc. dba GE Healthcare.
17224,"Calvin Scott & Co., Inc."
17238,"HUB Pharmaceuticals, Inc."
17270,"Armstrong Pharmaceuticals, Inc."
17271,Becton Dickinson and Company
17312,TRP Company
17433,"Quest Products, LLC"
17518,Solventum US LLC
17575,AGL Inhalation Therapy Co.
17714,Advance Pharmaceutical Inc.
17772,Supernus Pharmaceuticals
17819,"Noble Gas Solutions, Inc."
17856,ATLANTIC BIOLOGICAS CORP.
18087,James D. Anderson
18124,Fresenius Kabi Austria GmbH
18482,Inland Welding Supply dba A-L Compressed Gases
18657,"Antares Pharma, Inc."
18949,HD Supply
19188,All Saints Healthcare
19218,"Anesthesia Service, Inc."
19515,ID Biomedical Corporation of Quebec
19979,MMC - Dickinson Home Medical Equipment
20146,SAMSON PHARMACEUTICAL
20175,"O2 for U, Inc."
20276,Delta Brands Inc.
20394,Care Line Industries
20479,Hometown Medical LLC
20703,General Welding Supply Corp.
20942,Peninsula Home Health Care
21130,"BETTER LIVING BRANDS, LLC"
21220,General Air Service & Supply Co
21221,General Cryogenic Technologies LLC
21586,SteriMax Inc.
21624,Island Supply Welding Co Inc
21724,"INDEPENDENCE PHARMACEUTICALS, LLC"
21749,"GOJO Industries, Inc."
21922,"Encube Ethicals, Inc."
22431,"Blue Cross Laboratories, Inc."
22557,AGP LLC
22700,Noxell Corporation
22840,"Greer Laboratories, Inc."
23155,Heritage Pharmaceuticals Inc. d/b/a Avet Pharmaceuticals Inc.
23359,"Centurion Labs, LLC"
23390,"Denman Services, Inc."
23594,"Aytu Therapeutics, LLC"
23635,SpecGx LLC
23647,"SYOXSA, Inc."
23648,Socoplan
23650,"New Bedford Welding Supply, Inc."
23667,"Formulated Solutions, LLC"
23731,Citra Labs LLC
24027,"Broadway Medical Service & Supply, Inc."
24075,CSPC Ouyi Pharmaceutical Co. Ltd
24201,Hikma Pharmaceuticals USA Inc.
24205,"UniPro Foodservice, Inc."
24208,Bausch & Lomb Incorporated
24275,UCSF Radiopharmaceutical Facility
24286,DLC laboratories Inc.
24312,"Airtec Gases, LLC"
24330,Welmedix LLC
24338,"Azurity Pharmaceuticals, Inc."
24357,Focus Health Group
24385,Amerrisource Bergen
24417,UIHC-P E T IMAGING CENTER
24450,"Brigham and Women's Hospital, Inc., The"
24470,"CINTEX SERVICES, LLC"
24478,"NextWave Pharmaceuticals, Inc"
24492,"Pari Respiratory Equipment, Inc."
24509,"Nippon Shikizai, Inc."
24510,"Collegium Pharmaceutical, Inc."
24559,"DermStore, LLC"
24562,Biomedical Research Foundation of Northwest Louisiana
24571,Vantive US Healthcare LLC
24584,Piramal Healthcare UK Limited
24658,PURACAP LABORATORIES LLC DBA BLU PHARMACEUTICALS
24689,APNAR PHARMA LP
24694,Greenville Truck and Welding Supplies LLC
24765,"Pharmacal-International. Co., Ltd."
24794,Crosstex International Inc.
24887,Superior Oxygen & Medical Equipment
24909,"Aidance Scientific, Inc., DBA Aidance Skincare & Topical Solutions"
24979,"Upsher-Smith Laboratories, LLC"
25000,MARKSANS PHARMA LIMITED
25010,"Bausch Health US, LLC"
25021,Sagent Pharmaceuticals
25047,"DMG AMERICA, LLC"
25113,Dodge
25208,Medicure International Inc
25280,"Loesch Laboratory Consultant, INC."
25357,Glaukos Corporation
25682,Alexion Pharmaceuticals Inc.
26050,PT. GALENIUM PHARMASIA LABORATORIES
26052,"BURT'S BEES, INC."
26550,X3 Labs Inc.
26866,Bandy's Pharmacy
27017,Xlear Inc.
27241,Ajanta Pharma USA Inc.
27281,Sunway Biotech LLC
27437,"Lupin Pharmaceuticals,Inc."
27495,Physicians Science & Nature Inc.
27505,"MDD US Operations, LLC"
27561,Elixair Medical Inc
27789,"PHI, Inc"
27808,"Cranbury Pharmaceuticals, LLC"
27854,Belmora LLC
27860,AEROSPACE ACCESSORY SERVICE
28105,"HILL DERMACEUTICALS, INC."
28595,"Allegis Pharmaceuticals, LLC"
28691,Pharmaplast SAE
29033,"Nostrum Laboratories, Inc."
29149,"Landmark Healthcare, Inc."
29181,Star Valley Medical Supply
29300,"Unichem Pharmaceuticals (USA), Inc."
29485,"Lil' Drug Store Products, Inc."
29784,"Rooftop Consumer Health, Inc."
29943,Bausch & Lomb Incorporated
29978,"Capital Pharmaceutical, LLC"
29998,Kettering Medical Center
30056,"Eco-Logics, Inc."
30142,Kroger Co
30237,Dendreon Pharmaceuticals LLC
30400,Jell Pharmaceuticals Pvt. Ltd.
30698,Validus Pharmaceuticals LLC
30798,"Durvet, Inc."
30805,"Buckeye International, Inc."
30807,Wild Child Laboratories PTY Ltd
30815,Dermavance Pharmaceuticals
31462,Hometown Medical LLC
31507,"Wechem, Inc."
31720,S+
31722,"Camber Pharmaceuticals, Inc."
03215,"Aveva Drug Delivery Systems, Inc."
32472,Premiere Enterprises
32909,"E-Z-EM, INC."
33217,"TIANJIN DARENTANG JINGWANHONG PHARMACEUTICAL CO., LTD."
33332,Seqirus PTY LTD.
33335,"WELSCO, INC."
33342,Macleods Pharmaceuticals Limited
33346,Mayway Corporation
33758,"Modern Supply Company, Inc."
33992,"ASSURED / DOLLAR TREE (Greenbrier International, Inc.)"
34057,"Oxarc, LLC"
34362,Caldwell Consumer Health LLC
34645,"Jianerkang Medical Co., Ltd"
34666,NARTEX LABORATORIOS HOMEOPATICOS SA DE CV
34908,"Novast Laboratories, Ltd."
35000,Colgate-Palmolive Company
35192,CA-BOTANA INTERNATIONAL
35324,WynnPharm Inc
35356,Lake Erie Medical DBA Quality Care Products LLC
35369,"Shandong Anxin Pharmaceutical Co., Ltd."
35418,Zee Medical
35420,"Smith's Home Medical Equipment, Inc."
35484,"DelCorean, LLC"
35561,AustarPharma LLC
35573,"Burel Pharmaceuticals, LLC"
35916,Softgel Healthcare Private Limited
36000,Baxter Healthcare Corporation
36800,Topco associates LLC
37000,The Procter & Gamble Manufacturing Company
37012,"Shopko Stores Operating Co., LLC"
37662,"Hahnemann Laboratories, INC."
37808,H.E.B.
37835,BI-MART
37945,Bio-Medical & Pharmaceutical Manufacturing Corporation
39328,"Patrin Pharma, Inc"
39822,"XGen Pharmaceuticals DJB, Inc."
39892,"O&M HALYARD, INC."
40028,"PETNET Solutions, Inc."
40032,"Novel Laboratories, Inc."
40033,"Kindos Pharmaceuticals Co., Ltd."
40046,MAKEUP ART COSMETICS
40054,Northeast Home Medical Supplies Inc.
40089,The Johns Hopkins University
40096,"W.W. GRAINGER, INC."
40097,"Diamond Respiratory Care, Inc."
40098,Trustees of the University of Pennsylvania
40171,Bausch & Lomb Incorporated
41163,"United Natural Foods, Inc. dba UNFI"
41167,"Chattem, Inc."
41190,Wakefern Food Corp
41226,Kroger Co
41250,"Meijer Distribution, Inc."
41366,"Zhejiang Meimi Technology Co., Ltd."
41415,Publix
41520,American Sales Company
42007,Memorial Health System of East Texas dba Memorial Medical Center East Texas
42023,"Endo USA, Inc."
42068,Jackson Welding Supply Co Inc.
42126,"OASIS Medical, Inc."
42139,"Seaboard Welding Supply, Inc."
42192,"Acella Pharmaceuticals, LLC"
42195,"Xspire Pharma, LLC"
42199,Beyond International Inc.
42221,Art Cosmetics Srl
42227,"Takeda Pharmaceuticals America, Inc."
42239,"Abon Pharmaceuticals, LLC"
42241,"- INDUSTRIAL WELDING SUPPLY CO. OF HARVEY, INC."
42281,BODY HALO LLC
42291,AvKARE
42292,Mylan Institutional Inc.
42326,Petra Hygienic Systems Int Ltd
42333,"Laboratorios Dr. Collado, S.A."
42338,"Extra Shade, LLC"
42339,"Shandong Haiyan Medical Manufacture Co., Ltd."
42346,Wise Consumer Products
42358,"Sentynl Therapeutics, Inc."
42364,"DSE Healthcare Solutions, LLC"
42367,"Eagle Pharmaceuticals, Inc"
42385,Laurus Labs Limited
42388,"Exelixis, Inc."
42389,Carepro Health Risk Management
42423,"MHC Medical Products, LLC"
42457,"Emmaus Medical, Inc."
42472,Aramis Inc.
42485,"Biopelle, Inc."
42491,Dalim Tissen
42494,"Cameron Pharmaceuticals, LLC"
42507,Hy-Vee
42508,"Arbonne International, LLC"
42509,Wessco International
42515,Valneva Scotland Ltd.
42523,"Coastal Contract Packaging, Inc."
42543,Strides Pharma Inc.
42555,Colgate-Palmolive (Thailand) Limited - Branch
42571,Micro Labs Limited
42582,Bi-Coastal Pharma International LLC
42584,"Home Depot U.S.A., Inc."
42602,"Norco, Inc."
42627,"Kingdom Animalia, LLC DBA Hourglass Cosmetics"
42658,"Hisun Pharmaceuticals USA, Inc."
42667,Acerus Pharmaceuticals Corporation
