firm,ndc_firm_id
Merck Sharp & Dohme LLC,00006
"Agios Pharmaceuticals, Inc.",71334
Blueprint Medicines Corporation,72064
Incyte Corporation,50881
"SHIONOGI & CO., LTD.",59630
"Alexion Pharmaceuticals, Inc.",25682
"Viela Bio, Inc.",72677
"Janssen Biotech, Inc.",57894
NOVARTIS AG,00078
"GENENTECH, INC.",00004
"REGENERON PHARMACEUTICALS, INC.",61755
"IMMUNOGEN, INC.",72903
Celgene Corporation,59572
"GOJO Industries, Inc.",21749
Pharmacyclics LLC,57962
Eli Lilly and Company,00002
"Supernus Pharmaceuticals, Inc.",17772
"Array BioPharma, Inc.",70255
"RIGEL PHARMACEUTICALS, INC.",71332
"Almirall, S.A.",16110
"Gilead Sciences, Inc.",55135
"Kythera Biopharmaceuticals, Inc.",61168
"Arrowhead Pharmaceuticals, Inc.",84141
"Sarepta Therapeutics, Inc.",60923
"Innovative BioDefense, Inc.",57362
Insmed Incorporated,71558
"Eagle Pharmaceuticals, Inc.",42367
"INTRA-CELLULAR THERAPIES, INC.",72060
DOMPÉ FARMACEUTICI S.P.A.,71981
BIOVERATIV THERAPEUTICS INC.,71104
"MEDIMMUNE, LLC",66019
"Intersect ENT, Inc.",10599
Smith & Nephew PLC,50484
DR. REDDY'S LABORATORIES LIMITED,55111
"SUN PHARMACEUTICAL INDUSTRIES, INC.",10631
AMGEN INC.,55513
ABBVIE INC.,00032
"Hospira, Inc.",00409
Cumberland Pharmaceuticals Inc.,66220
Apotex Inc.,60505
United Therapeutics Corporation,66302
REV PHARMA Corp.,69981
GLAXOSMITHKLINE BIOLOGICALS SA,58160
Genzyme Corporation,58468
"Palatin Technologies, Inc.",80064
"Allergan, Inc.",00023
UCB PHARMA S.A.,00131
AMOREPACIFIC CORPORATION,43419
Rhodes Pharmaceuticals L.P.,42858
"ESTEVE PHARMACEUTICALS, S.A.",68118
"BioCryst Pharmaceuticals, Inc.",72769
Shiseido Americas Corporation,58411
"Ethicon, Inc.",63713
"Novavax, Inc.",80631
GLAXOSMITHKLINE LLC,00173
"HISAMITSU PHARMACEUTICAL CO., INC.",46581
IDORSIA PHARMACEUTICALS LTD,80491
"Vertex Pharmaceuticals, Incorporated",51167
"JIANGSU HENGRUI CO., LTD.",57884
"Chia Tai Tianqing Pharmaceutical Group Co., Ltd.",71731
"Alkermes, Inc.",65757
"Kadmon Corporation, LLC",79802
APRECIA PHARMACEUTICALS LLC,43485
"Pacira Pharmaceuticals, Inc.",65250
"PTC Therapeutics, Inc.",52856
ACADIA Pharmaceuticals Inc.,63090
"MESOBLAST, INC.",73648
The Johns Hopkins University,40089
BIOMARIN PHARMACEUTICAL INC.,68135
"Alnylam Pharmaceuticals, Inc.",71336
"Aquestive Therapeutics, Inc.",10094
Shaklee Corporation,59899
"CHEMOCENTRYX, INC.",73556
"Exelixis, Inc.",42388
"Teva Pharmaceuticals USA, Inc.",00093
Geron Corporation,82959
"Apellis Pharmaceuticals, Inc.",73606
Novartis Pharma AG,00078
"Ionis Pharmaceuticals, Inc.",71860
"OTSUKA AMERICA PHARMACEUTICAL, INC.",59148
"Epizyme, Inc.",72607
Cephalon LLC,63459
"HUONS CO., LTD.",73293
"Staples, Inc.",49514
"CETYLITE INDUSTRIES, INC.",10223
UroGen Pharma Ltd.,72493
NATCO PHARMA LIMITED,63850
MARY KAY INC.,51531
"ADARE PHARMACEUTICALS, INC.",59917
"Siga Technologies, Inc.",50072
MannKind Corporation,47918
"Esperion Therapeutics, Inc.",72426
Corcept Therapeutics Incorporated,76346
Credentis AG,72247
Gamida Cell Ltd.,73441
SANDOZ AG,00185
"QILU Pharmaceutical, Co., Ltd.",67184
"Abraxis BioScience, LLC",68817
Eisai Inc.,62856
"Vivus, Inc.",62541
LUPIN INC.,27437
"AXSOME THERAPEUTICS, INC.",81968
"MIRATI THERAPEUTICS, INC.",80739
Biotest AG,83372
"MacroGenics, Inc.",74527
BEIERSDORF AG,10356
GUERBET,67684
"Curology, Inc.",82575
"Neurocrine Biosciences, Inc.",70370
Ultragenyx Pharmaceutical Inc.,69794
"Santarus, Inc.",68012
Colgate-Palmolive Company,35000
Vanda Pharmaceuticals Inc.,43068
"Tetraphase Pharmaceuticals, Inc.",71773
Shilpa Medicare Limited,63759
"Eyenovia, Inc.",81046
"OCuSOFT, Inc.",54799
DEXCEL PHARMA TECHNOLOGIES LTD.,64239
"G1 Therapeutics, Inc.",73462
"Mycovia Pharmaceuticals, Inc.",74695
THE REGENTS OF THE UNIVERSITY OF MICHIGAN,76326
"REVANCE THERAPEUTICS, INC.",72960
VERO Biotech Inc.,72385
"Alastin Skincare, Inc.",70604
Bavarian Nordic A/S,50632
"TAIHO PHARMACEUTICAL CO., LTD.",64842
"Salix Pharmaceuticals, Inc.",65649
"REATA PHARMACEUTICALS, INC.",73179
BANNER LIFE SCIENCES LLC,69387
"SHANDONG LUYE PHARMACEUTICAL CO., LTD.",72526
IPCA LABORATORIES LIMITED,83980
RedHill Biopharma Ltd.,57841
"BLUEBIRD BIO, INC.",73554
"MELINTA THERAPEUTICS, INC.",70842
"LEXICON PHARMACEUTICALS, INC.",70183
"E.R. SQUIBB & SONS, L.L.C.",00003
"Paratek Pharmaceuticals, Inc.",71715
DYNAVAX TECHNOLOGIES CORPORATION,43528
"CHIMERIX, INC.",79622
Biogen Inc.,59627
EMERGENT BIOSOLUTIONS CANADA INC.,60492
"Madrigal Pharmaceuticals, Inc.",82576
"ISDIN, S.A.",69494
"Lantheus Medical Imaging, Inc.",11994
UCB Pharma GmbH,00131
"Clovis Oncology, Inc.",69660
"Iovance Biotherapeutics, Inc.",73776
"Loxo Oncology, Inc.",71777
Sanofi Pasteur SA,49281
CSL BEHRING AG,00053
"SUNWAY BIOTECH CO., LTD.",27281
"Akebia Therapeutics, Inc.",59922
"Krystal Biotech, Inc.",82194
EMERGENT PRODUCT DEVELOPMENT GAITHERSBURG INC.,71665
"Smith & Nephew, Inc.",50484
"VELOXIS PHARMACEUTICALS, INC.",68992
"RHYTHM PHARMACEUTICALS, INC.",72829
Karyopharm Therapeutics Inc.,72237
"Wuxi Fortune Pharmaceutical Co., Ltd",65050
ViiV Healthcare Company,49702
PHI PHARMA SA,27789
STEALTH BIOTHERAPEUTICS INC.,72507
Seattle Children's Hospital,72740
"GOOD CLEAN LOVE, INC.",73716
CIMA LABS INC.,55253
"Galderma Laboratories, L.P.",00299
"Exeltis USA, Inc.",00642
CHANEL PARFUMS BEAUTE,68745
"Deseret Biologicals, Inc.",43742
"Heron Therapeutics, Inc.",47426
HETERO LABS LIMITED,68554
LAURUS LABS LIMITED,42385
"Syndax Pharmaceuticals, Inc.",73555
KAMEDIS LTD,50718
Torrent Pharmaceuticals Limited,13668
InflaRx GmbH,83000
Nalpropion Pharmaceuticals LLC,51267
"Aekyung Industrial Co., Ltd.",67225
"Antares Pharma, Inc.",18657
"AcelRx Pharmaceuticals, Inc.",61621
"Vireo Systems, Inc.",82908
"Laclede, Inc.",54897
Baxter Healthcare SA,00338
"TREVENA, INC.",71308
Sintetica S.A.,68055
CSL BEHRING LENGNAU AG,69911
"Amphastar Pharmaceuticals, Inc.",00548
"Novast Laboratories, Ltd",34908
"Emmaus Medical, Inc.",42457
"MEDCARA PHARMACEUTICALS, LLC",82406
"kaleo, Inc.",60842
"ADMA BIOLOGICS, INC.",69800
"SAMBRIA PHARMACEUTICALS, LLC",54723
"Sonoma Pharmaceuticals, Inc.",69668
scPharmaceuticals Inc.,71767
"ARDELYX, INC.",73154
"Fenwal, Inc.",00942
"Corium, LLC",65038
"Medline Industries, LP",53329
MASSACHUSETTS GENERAL HOSPITAL,76318
"Sprout Pharmaceuticals, Inc.",58604
TerSera Therapeutics LLC,70720
"Stemline Therapeutics, Inc.",72187
"BECTON, DICKINSON AND COMPANY",17271
"Kite Pharma, Inc.",71287
"HERBALIFE INTERNATIONAL OF AMERICA, INC.",51785
"Church & Dwight Co., Inc.",10237
CYCLE PHARMACEUTICALS LTD,70709
60 DEGREES PHARMACEUTICALS LLC,71475
Mylan Inc.,00378
